Timestamp,Snapshot,Class,Confidence
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,NO-Mask,0.915
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,NO-Mask,0.914
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,NO-Safety Vest,0.864
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,NO-Safety Vest,0.859
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,NO-Hardhat,0.827
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,NO-Hardhat,0.808
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,Person,0.792
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,Person,0.777
2025-11-27_14-56-25,snapshots/frame_2025-11-27_14-56-25.jpg,NO-Hardhat,0.625
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,Person,0.937
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,NO-Mask,0.936
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,NO-Mask,0.869
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,NO-Hardhat,0.844
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,NO-Safety Vest,0.829
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,NO-Hardhat,0.828
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,Person,0.727
2025-11-27_16-02-01,snapshots/frame_2025-11-27_16-02-01.jpg,NO-Safety Vest,0.504
2025-11-29_17-51-31,snapshots/frame_2025-11-29_17-51-31.jpg,NO-Mask,0.926
2025-11-29_17-51-31,snapshots/frame_2025-11-29_17-51-31.jpg,NO-Safety Vest,0.844
2025-11-29_17-51-31,snapshots/frame_2025-11-29_17-51-31.jpg,NO-Hardhat,0.736
2025-11-29_17-51-31,snapshots/frame_2025-11-29_17-51-31.jpg,Person,0.732
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,NO-Mask,0.91
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,Person,0.896
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,NO-Safety Vest,0.89
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,NO-Hardhat,0.88
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,NO-Safety Vest,0.868
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,Person,0.86
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,NO-Hardhat,0.859
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,Person,0.836
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,Hardhat,0.782
2025-12-01_13-51-05,snapshots/frame_2025-12-01_13-51-05.jpg,NO-Mask,0.657
2025-12-02_10-44-54,snapshots/frame_2025-12-02_10-44-54.jpg,NO-Mask,0.942
2025-12-02_10-44-54,snapshots/frame_2025-12-02_10-44-54.jpg,NO-Hardhat,0.853
2025-12-02_10-44-54,snapshots/frame_2025-12-02_10-44-54.jpg,NO-Safety Vest,0.823
2025-12-02_10-44-54,snapshots/frame_2025-12-02_10-44-54.jpg,Person,0.805
2025-12-02_10-45-01,snapshots/frame_2025-12-02_10-45-01.jpg,NO-Mask,0.933
2025-12-02_10-45-01,snapshots/frame_2025-12-02_10-45-01.jpg,NO-Hardhat,0.837
2025-12-02_10-45-01,snapshots/frame_2025-12-02_10-45-01.jpg,NO-Safety Vest,0.823
2025-12-02_10-45-01,snapshots/frame_2025-12-02_10-45-01.jpg,Person,0.747
2025-12-02_11-02-51,snapshots/frame_2025-12-02_11-02-51.jpg,NO-Mask,0.96
2025-12-02_11-02-51,snapshots/frame_2025-12-02_11-02-51.jpg,NO-Hardhat,0.896
2025-12-02_11-02-51,snapshots/frame_2025-12-02_11-02-51.jpg,Person,0.815
2025-12-02_11-02-51,snapshots/frame_2025-12-02_11-02-51.jpg,Safety Vest,0.735
2025-12-02_11-02-51,snapshots/frame_2025-12-02_11-02-51.jpg,NO-Safety Vest,0.613
2025-12-02_11-02-51,snapshots/frame_2025-12-02_11-02-51.jpg,NO-Safety Vest,0.597
2025-12-02_11-02-51,snapshots/frame_2025-12-02_11-02-51.jpg,NO-Safety Vest,0.588
2025-12-02_11-02-52,snapshots/frame_2025-12-02_11-02-52.jpg,NO-Mask,0.961
2025-12-02_11-02-52,snapshots/frame_2025-12-02_11-02-52.jpg,NO-Hardhat,0.883
2025-12-02_11-02-52,snapshots/frame_2025-12-02_11-02-52.jpg,Person,0.841
2025-12-02_11-02-52,snapshots/frame_2025-12-02_11-02-52.jpg,NO-Safety Vest,0.624
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,NO-Mask,0.959
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,NO-Hardhat,0.922
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,Person,0.847
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,NO-Safety Vest,0.703
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,NO-Safety Vest,0.633
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,NO-Mask,0.963
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,NO-Hardhat,0.923
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,Person,0.842
2025-12-02_11-02-53,snapshots/frame_2025-12-02_11-02-53.jpg,NO-Safety Vest,0.55
